Date ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
08-Aug-14,437.5,437.85,430.4,442,433.45,432.9,432.94,488.2,271.8,"64,22,294","2,78,04,52,049.85","1,38,022"
11-Aug-14,439.6,448.45,437,432.9,447.2,446.55,444.45,488.2,276.05,"86,43,044","3,84,14,18,420.95","1,60,433"
12-Aug-14,481,482,468.4,446.55,473.3,474,473.89,488.2,276.05,"1,47,29,593","6,98,01,45,131.90","1,57,646"
13-Aug-14,477.05,479.85,466.1,474,473.95,473.5,473.16,488.2,276.05,"62,32,455","2,94,89,47,393.05","94,847"
14-Aug-14,474.35,485.85,473.65,473.5,484.85,484.6,481.36,488.2,276.05,"63,49,274","3,05,63,06,801.60","82,901"
18-Aug-14,489.05,505.65,488.9,484.6,505.05,503.8,499.04,505.65,278.55,"85,64,539","4,27,40,87,762.55","1,08,555"
19-Aug-14,507.5,520.7,505.55,503.8,520.6,518.85,513.22,520.7,278.55,"98,59,931","5,06,03,00,086.20","1,31,331"
20-Aug-14,519,522,510.9,518.85,511.05,512.25,515.78,522,278.55,"54,09,421","2,79,00,84,501.75","95,723"
21-Aug-14,516,518.15,506.15,512.25,511.65,512.75,512.62,522,278.55,"54,05,948","2,77,12,24,072.25","70,205"
22-Aug-14,515.25,520.65,510.6,512.75,512.3,511.55,514.79,522,278.55,"43,57,503","2,24,31,92,360.65","63,873"
25-Aug-14,517,518,505.35,511.55,507.45,508.4,512.93,522,286.3,"39,63,009","2,03,27,29,057.90","70,287"
26-Aug-14,498.5,515.2,496.35,508.4,514.15,512.65,507.71,522,286.3,"46,74,270","2,37,31,89,779.40","76,268"
27-Aug-14,518.9,524,516.2,512.65,524,521.7,520.46,524,286.3,"38,63,988","2,01,10,38,260.55","82,828"
28-Aug-14,523.7,531.65,522.65,521.7,524.2,525.05,527.05,531.65,286.3,"55,38,124","2,91,88,64,931.80","77,525"
01-Sep-14,526,529.5,516.75,525.05,520.7,520,520.67,531.65,292.05,"62,54,629","3,25,65,81,203.65","74,771"
02-Sep-14,520,520.75,512.05,520,516.9,516.25,515.85,531.65,292.05,"46,50,966","2,39,91,83,292.95","58,994"
03-Sep-14,526.1,530.5,521.3,516.25,523.45,522.6,524.47,531.65,292.05,"73,16,875","3,83,74,57,608.70","77,198"
04-Sep-14,522.7,522.7,509.25,522.6,513.05,513,513.41,531.65,292.05,"78,03,460","4,00,63,35,649.50","1,10,104"
05-Sep-14,513,516.6,503.15,513,505.7,506,509.73,531.65,292.05,"99,54,962","5,07,43,35,502.25","93,030"
08-Sep-14,508,512,502.9,506,510.2,510.1,506.83,531.65,320.1,"91,67,389","4,64,62,83,764.85","73,963"
09-Sep-14,511.1,518.4,507.6,510.1,517.3,517.15,514.26,531.65,320.1,"90,37,982","4,64,78,70,080.80","98,072"
10-Sep-14,513.8,520.95,512.4,517.15,515.5,516.55,517.67,531.65,320.1,"72,37,841","3,74,68,25,221.85","68,063"
11-Sep-14,518,518.3,511,516.55,513,514.35,514.56,531.65,320.1,"39,52,038","2,03,35,55,106.15","71,684"
12-Sep-14,515,519.35,513.4,514.35,517.15,517.2,516.68,531.65,320.1,"45,96,246","2,37,47,99,440.15","52,038"
15-Sep-14,512,515.4,510.15,517.2,512.65,512.4,512.61,531.65,324.85,"29,70,679","1,52,28,01,155.40","57,889"
16-Sep-14,510,510.75,494.65,512.4,500,499.75,503.34,531.65,324.85,"57,34,024","2,88,61,74,968.25","70,246"
17-Sep-14,502,509.5,491.4,499.75,506.85,506.95,500.41,531.65,324.85,"49,47,732","2,47,58,96,521.85","74,888"
18-Sep-14,505.7,526.8,500.7,506.95,524.35,525.4,517.05,531.65,324.85,"70,51,279","3,64,58,44,255.40","1,14,517"
19-Sep-14,525.2,529,516.55,525.4,519.75,518.9,523.4,531.65,324.85,"51,32,096","2,68,61,14,786.45","74,583"
22-Sep-14,515,542.5,514,518.9,539.35,540.05,533.76,542.5,330,"78,88,770","4,21,07,04,518.85","1,17,475"
23-Sep-14,541.7,542.6,516.1,540.05,518.75,517.8,528.91,542.6,330,"74,48,994","3,93,98,59,350.25","88,464"
24-Sep-14,516,517.75,506.55,517.8,512.95,513.4,513.01,542.6,330,"38,46,158","1,97,31,07,353.25","45,019"
25-Sep-14,512.7,514.75,500,513.4,505,504.35,506.83,542.6,330,"63,22,423","3,20,43,64,846.60","65,782"
26-Sep-14,502.1,513.05,492.35,504.35,510.15,511.1,503.89,542.6,330,"71,75,476","3,61,56,67,614.35","92,507"
29-Sep-14,510.1,515.6,507.65,511.1,510.25,510.75,511.24,542.6,330,"51,06,197","2,61,05,02,009.95","63,329"
30-Sep-14,514.7,514.7,500.3,510.75,502.7,502.15,509.44,542.6,330,"55,17,683","2,81,09,36,532.30","50,426"
01-Oct-14,501.2,507.4,499.25,502.15,506.15,502.75,504.3,542.6,330,"36,87,493","1,85,95,96,479.00","64,441"
07-Oct-14,502.75,516.8,502.75,502.75,505,504.95,509.83,542.6,332.1,"54,04,357","2,75,52,94,598.00","1,15,646"
08-Oct-14,507,512.7,502,504.95,509.1,509,509.17,542.6,332.1,"39,21,022","1,99,64,67,024.85","65,566"
